id_operacion;id;no, fmi;dirección territorial;municipio;fecha_envio_juridico;folio_matriz;novedadfmi_tipo;npnmatriz;novedad_numero_predial;folio_derivados;predio tipo;condicion prop derivado;área registral m2;coeficiente;área coefieciente
1801855;77;77;BOYACÁ;SOGAMOSO;29/09/2025;095-114887;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-114887;Privado_Privado;PH_Matriz;164.2;;
1803393;195;195;BOYACÁ;SOGAMOSO;29/09/2025;095-84647;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-84647;Privado_Privado;PH_Matriz;135.5;;
1803722;173;173;BOYACÁ;SOGAMOSO;29/09/2025;095-137477;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-137477;Privado_Privado;PH_Matriz;125.31;;
1805454;257;257;BOYACÁ;SOGAMOSO;29/09/2025;095-138297;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-138297;Privado_Privado;PH_Matriz;91;;
1809918;100;100;BOYACÁ;SOGAMOSO;29/09/2025;095-13321;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-13321;Privado_Privado;PH_Matriz;182;;
1813920;358;358;BOYACÁ;SOGAMOSO;29/09/2025;095-110783;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-110783;Privado_Privado;PH_Matriz;106;;
1814653;337;337;BOYACÁ;SOGAMOSO;29/09/2025;095-84388;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-84388;Privado_Privado;PH_Matriz;94.32;;
1815334;348;348;BOYACÁ;SOGAMOSO;29/09/2025;095-101675;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-101675;Privado_Privado;PH_Matriz;207;;
1815794;117;117;BOYACÁ;SOGAMOSO;29/09/2025;095-31337;FMI_Debe_Estar_Cerrado;1,5759E+29;Cancelacion_por_Desenglobe;;;;;;
4760111;1217;1217;META;GRANADA;29/09/2025;236-65489;;5,0313E+29;Cambio_Numero_Predial_NPH_a_PH;236-65489;Privado_Privado;PH_Matriz;189.9;;
4765153;1220;1220;META;GRANADA;29/09/2025;236-65861;;5,0313E+29;Cambio_Numero_Predial_NPH_a_PH;236-65861;Privado_Privado;PH_Matriz;192;;
4765154;1223;1223;META;GRANADA;29/09/2025;236-65860;;5,0313E+29;Cambio_Numero_Predial_NPH_a_PH;236-65860;Privado_Privado;PH_Matriz;192;;
4765373;1226;1226;META;GRANADA;29/09/2025;236-65853;;5,0313E+29;Cambio_Numero_Predial_NPH_a_PH;236-65853;Privado_Privado;PH_Matriz;192;;
4765486;658;658;META;GRANADA;29/09/2025;236-39204;FMI_Debe_Estar_Cerrado;5,0313E+29;Cancelacion_por_Englobe;;;;;;
4765487;657;657;META;GRANADA;29/09/2025;236-39203;FMI_Debe_Estar_Cerrado;5,0313E+29;Cancelacion_por_Englobe;;;;;;
