"globalid";"altura";"anio_construccion";"area_construccion";"area_privada_construida";"etiqueta";"id_caracteristicasunidadconstru";"id_operacion_predio";"planta_ubicacion";"tipo_planta";"caracteristicasuc_guid";"codigo";"identificador";"observaciones"
{F811C033-68B4-49B1-9B19-3816EAF00DA4};2;2010,0000;70,9499;; ;Dummy;"6038238";2;Piso;{70E35A7D-F9D2-4A52-8BA7-AAD8DCCFCE17};"634010100000004970025000000000";A;update_Caso 11
{F813B8B9-9B25-4887-A66E-C2ECA283D937};2;2010,0000;29,5900;;C;"21093512";"6033719";1;Piso;{21C660EF-5773-4FA3-B8BA-EAF44072C4F4};"634010100000002010801800000011";C;update_Caso 1
{F81793E7-EC07-4362-97C0-E22BFFBF7351};2;2000,0000;84,0000;;A;"21035709";"6033399";1;Piso;{F3067F1C-63D4-40D2-9B6A-838618BD66CD};"634010100000001710012000000000";A;update_Caso 1
{F818581E-D15A-44E2-B76C-35E54C5F8D15};2;1990,0000;309,0000;;D;"11797250";"6028653";1;Piso;{BE892494-9AE5-43B8-ABEE-6A8851E2FBD6};"634010001000000030027000000000";D;update_Caso 5
{F8195E99-0829-47FC-9809-C20BFD7E1532};2;2010,0000;119,6593;; ;Dummy;"6031769";1;Piso;{2794F4EE-EA25-42C3-A35F-2C3A06F03721};"634010100000000740001000000000";A;update_Caso 11
{F81A71D4-1EB0-420F-BA3B-D6AC4F28EA7E};2;2005,0000;21,0000;;A;"5113084";"6029682";0;Piso;{0C8D4FCD-B56D-408A-952C-3F49E92A6708};"634010001000000060328000000000";A;update_Caso 3
{F81D6D7F-5A71-4643-9D9E-3AAB1BA376B8};2;1995,0000;63,0000;;A;"5118147";"6034184";1;Piso;{EDB5DEA1-8E18-4D9A-92F4-353EC8BD0767};"634010100000002350008000000000";A;update_Caso 1
{F8202CC9-9007-45CB-BE78-EF096B0C68E2};2;2020,0000;149,4000;;A;"5121768";"6038509";1;Piso;{2A03F280-81EE-40D7-8D78-1ECC3F9D646F};"634010100000005210002000000000";A;update_Caso 5
{F82F0C48-0818-4BD7-A7CA-EDFC03A4D977};2;1985,0000;168,0000;;F;"5111422";"6028668";1;Piso;{98462A3C-B846-41CF-B991-9C15DF60CD4A};"634010001000000030045000000000";F;update_Caso 1
{F82FFE58-2B18-4E48-ADF9-D6EBFC78714A};2;2010,0000;96,8939;; ;Dummy;"6031308";2;Piso;{4AF701A8-FDA7-42CD-964D-0F4FF0AFEE79};"634010100000000520012000000000";A;update_Caso 11
{F836741C-EE81-404C-84B4-24C6AADFA990};2;2010,0000;29,9997;; ;Dummy;"6036601";2;Piso;{88572008-B239-4944-A030-F6454143B4C0};"634010100000003680008000000000";A;update_Caso 11
{F83A9EB6-0C49-462E-B57A-257196283063};2;2010,0000;64,2158;; ;Dummy;"6035326";2;Piso;{7A176DCB-1D47-4E4D-B8CB-95763BAED6FA};"634010100000003010026000000000";A;update_Caso 11
{F83D97F8-1E2A-47D8-BD43-0A8231A26B1D};2;2010,0000;46,5007;;C 15 10A 42;Dummy;"6032615";2;Piso;{963222FC-F4BD-4E0F-9281-9E53E2A7E753};"634010100000001240009000000000";A;update_Caso 11
{F83FD8D9-6BE4-4D01-A7EB-4936AFB04D7D};2;2000,0000;137,5900;;A;"5113402";"6029945";1;Piso;{61374F03-4E63-42B6-B822-A08A263FA74A};"634010100000000080012000000000";A;update_Caso 5
{F8419F1D-5626-4858-834E-06482254D59B};2;2019,0000;209,6684;; ;Dummy;"12536261";1;Piso;{F94F9A61-CDB7-4416-9388-F2DDA406B542};"634010001000000040814000000000";G;update_Caso 11
