"left";"tipo_anexo";"count"
"63401";Corrales_Tipo_20;3
"25183";Kioskos_Tipo_80;8
"25001";Tanques_Tipo_60;7
"66045";Piscinas_Tipo_40;1
"50313";Marquesinas_Tipo_60;28
"63401";Establos_Pesebreras_Tipo_20;3
"68745";Corrales_Tipo_60;6
"66318";Cimientos_Estructura_Muros_Placabase_Tipo_60;1
"23350";Albercas_Baniaderas_Tipo_40;1
"23555";Kioskos_Tipo_80;18
"25183";Galpones_Gallineros_Tipo_60;6
"23570";Kioskos_Tipo_80;2
"66045";Cocheras_Marraneras_Porquerizas_Tipo_60;53
"13430";Galpones_Gallineros_Tipo_20;4
"68179";Establos_Pesebreras_Tipo_40;7
"66045";Establos_Pesebreras_Tipo_40;31
"25183";Marquesinas_Tipo_40;198
"15816";Kioskos_Tipo_40;1
"25295";Tanques_Tipo_20;4
"68861";Marquesinas_Tipo_20;2
"15469";Establos_Pesebreras_Tipo_80;4
"68861";Establos_Pesebreras_Tipo_40;40
"68745";Corrales_Tipo_20;46
"13430";Kioskos_Tipo_60;73
"23350";Piscinas_Tipo_40;11
"25001";Kioskos_Tipo_20;2
"66045";Piscinas_Tipo_50;2
"66687";Marquesinas_Tipo_40;1
"68861";Establos_Pesebreras_Tipo_20;3
"08832";Kioskos_Tipo_80;2
"23079";Cocheras_Marraneras_Porquerizas_Tipo_20;3
"15764";Marquesinas_Tipo_60;13
"25183";Silos_Tipo_60;2
"63401";Tanques_Tipo_40;72
"23555";Corrales_Tipo_60;106
"15861";Kioskos_Tipo_60;5
"68861";Kioskos_Tipo_40;6
"08832";Galpones_Gallineros_Tipo_20;13
"68573";Kioskos_Tipo_40;16
"13836";Kioskos_Tipo_20;40
"25772";Galpones_Gallineros_Tipo_60;9
"15759";Cocheras_Marraneras_Porquerizas_Tipo_40;5
"15299";Marquesinas_Tipo_60;18
"15469";Galpones_Gallineros_Tipo_80;1
"66383";Secaderos_Tipo_40;83
"66383";Kioskos_Tipo_40;3
"25772";Cocheras_Marraneras_Porquerizas_Tipo_40;2
"63401";Cocheras_Marraneras_Porquerizas_Tipo_60;11
"15804";Galpones_Gallineros_Tipo_40;2
