"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"divipola";"vereda";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente"
1649570;L11_515;515;515;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-3486";Privado_Privado;NPH;;;
1649434;L11_344;344;344;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-21482";"13430";"13430010200000216";;"134300102000002160014000000000";Desenglobe_Division_Material;"064-34964";Privado_Privado;NPH;;;
1649433;L11_345;345;345;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-21482";"13430";"13430010200000216";;"134300102000002160014000000000";Desenglobe_Division_Material;"064-34965";Privado_Privado;NPH;;;
1649432;L11_346;346;346;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-21482";"13430";"13430010200000216";;"134300102000002160014000000000";Desenglobe_Division_Material;"064-34966";Privado_Privado;NPH;;;
1649701;L11_384;384;384;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-35026";Privado_Privado;NPH;;;
1649700;L11_385;385;385;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-35063";Privado_Privado;NPH;;;
1649699;L11_386;386;386;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-35068";Privado_Privado;NPH;;;
1649446;L11_231;231;231;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6357";"13430";"13430010200000401";;"134300102000004010001000000000";Desenglobe_Division_Material;"064-35158";Privado_Privado;NPH;;;
1649445;L11_232;232;232;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6357";"13430";"13430010200000401";;"134300102000004010001000000000";Desenglobe_Division_Material;"064-35159";Privado_Privado;NPH;;;
1649444;L11_233;233;233;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6357";"13430";"13430010200000401";;"134300102000004010001000000000";Desenglobe_Division_Material;"064-35160";Privado_Privado;NPH;;;
1649443;L11_234;234;234;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6357";"13430";"13430010200000401";;"134300102000004010001000000000";Desenglobe_Division_Material;"064-35161";Privado_Privado;NPH;;;
1649442;L11_235;235;235;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6357";"13430";"13430010200000401";;"134300102000004010001000000000";Desenglobe_Division_Material;"064-35162";Privado_Privado;NPH;;;
1649441;L11_236;236;236;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6357";"13430";"13430010200000401";;"134300102000004010001000000000";Desenglobe_Division_Material;"064-35163";Privado_Privado;NPH;;;
1649440;L11_237;237;237;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6357";"13430";"13430010200000401";;"134300102000004010001000000000";Desenglobe_Division_Material;"064-35164";Privado_Privado;NPH;;;
1649439;L11_238;238;238;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6357";"13430";"13430010200000401";;"134300102000004010001000000000";Desenglobe_Division_Material;"064-35165";Privado_Privado;NPH;;;
1649438;L11_239;239;239;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6357";"13430";"13430010200000401";;"134300102000004010001000000000";Desenglobe_Division_Material;"064-35166";Privado_Privado;NPH;;;
1649437;L11_240;240;240;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6357";"13430";"13430010200000401";;"134300102000004010001000000000";Desenglobe_Division_Material;"064-35167";Privado_Privado;NPH;;;
1649436;L11_241;241;241;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6357";"13430";"13430010200000401";;"134300102000004010001000000000";Desenglobe_Division_Material;"064-35168";Privado_Privado;NPH;;;
1649435;L11_242;242;242;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6357";"13430";"13430010200000401";;"134300102000004010001000000000";Desenglobe_Division_Material;"064-35169";Privado_Privado;NPH;;;
1465004;"14085658";315;315;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-35190";"13430";"13430010200000287";;"134300102000002870007000000000";Cancelacion_por_Desenglobe;;;;;;
