"objectid";"id_operacion";"codigo_orip";"matricula_inmobiliaria";"area_catastral_terreno";"numero_predial_nacional";"tipo";"condicion_predio";"destinacion_economica";"area_registral_m2";"tipo_referencia_fmi_antiguo";"coeficiente";"area_coeficiente";"globalid";"predioinformal_guid";"municipio";"referencia_registral";"gdb_geomattr_data";"shape"
1208345;"1544471";"083";"28446";1261,00000000;"154690100000001540801800000008";Privado;Condominio_Unidad_Predial;Recreacional;;;;;{8B3B0321-754A-4A29-B029-7144265F6AE2};{00000000-0000-0000-0000-000000000000};;;;POINT (4935613,664088355 2207827,352739594)
1305697;"1540766";"083";"24776";46,00000000;"154690100000000030027000000000";Privado;NPH;Habitacional;;;;;{CEA835EE-6AB4-4ECF-9F0A-84E0FADE41CF};{00000000-0000-0000-0000-000000000000};;;;POINT (4936562,301431483 2207553,305296936)
1208190;"1541374";"083";"8822";80,00000000;"154690100000000220001000000000";Privado;NPH;Habitacional;;;;;{189E1F83-17CC-4701-9AA0-371CE87F5361};{00000000-0000-0000-0000-000000000000};;;;POINT (4936573,1789300805 2207210,428650532)
1467689;"1541377";"083";"6801";90,00000000;"154690100000000220005000000000";Privado;NPH;Habitacional;;;;;{48A484D5-0762-4571-9672-827AAFDCC882};{00000000-0000-0000-0000-000000000000};;;;POINT (4936589,809830278 2207220,9728187667)
1200664;"1541380";"083";"9405";53,00000000;"154690100000000220009000000000";Privado;NPH;Habitacional;;;;;{A8055255-A22C-44D2-BFEF-4C5FC2AB8321};{00000000-0000-0000-0000-000000000000};;;;POINT (4936613,409865469 2207241,8489464875)
1082628;"1541989";"083";"9056";123,00000000;"154690100000000390015000000000";Privado;NPH;Habitacional;;;;;{13ECF42B-3BD2-4D56-B0B8-05A34FB5CF0D};{00000000-0000-0000-0000-000000000000};;;;POINT (4937161,025269996 2207340,378096287)
1369566;"1542615";"083";"14522";530,00000000;"154690100000000600014000000000";Privado;NPH;Habitacional;;;;;{AB992322-0C87-4F12-AE18-178E5201C665};{00000000-0000-0000-0000-000000000000};;;;POINT (4936310,046004608 2206493,843060364)
1467799;"1543246";"083";"5743";68,00000000;"154690100000000750008000000000";Privado;NPH;Habitacional;;;;;{6CA8C3C4-C19B-44A4-903E-BF5D28781D70};{00000000-0000-0000-0000-000000000000};;;;POINT (4936534,207490781 2206610,548970442)
1532678;"1544514";"083";"28454";1091,00000000;"154690100000001540801800000051";Privado;Condominio_Unidad_Predial;Recreacional;;;;;{32721219-9370-45E7-B8F8-C6D6101CF663};{00000000-0000-0000-0000-000000000000};;;;POINT (4935898,9118564585 2207858,259955521)
1110803;"1540780";"083";"14120";159,00000000;"154690100000000040010000000000";Privado;NPH;Habitacional;;;;;{4F31A904-961E-4B29-914D-A5536981817F};{00000000-0000-0000-0000-000000000000};;;;POINT (4936667,705905048 2207587,9383798856)
1110804;"1540783";"083";"7069";195,00000000;"154690100000000040013000000000";Privado;NPH;Habitacional;;;;;{F6D23A25-EF7E-4DB4-83E3-A8ED7A78AE81};{00000000-0000-0000-0000-000000000000};;;;POINT (4936637,114437249 2207605,136154772)
1532443;"1540798";"083";"18329";102,00000000;"154690100000000040029000000000";Privado;NPH;Habitacional;;;;;{B9D31EE0-07F5-4638-8C7C-77056F2F059A};{00000000-0000-0000-0000-000000000000};;;;POINT (4936602,669155754 2207642,66280298)
1436077;"1540805";"083";"18340";102,00000000;"154690100000000040036000000000";Privado;NPH;Habitacional;;;;;{5DE2780B-999D-4651-8E84-183302113ECF};{00000000-0000-0000-0000-000000000000};;;;POINT (4936596,534020456 2207672,62040444)
1467718;"1542044";"083";"38179";31,00000000;"154690100000000390083000000000";Privado;NPH;Habitacional;;;;;{CC359339-73FE-4606-BA48-15951D7D39D3};{00000000-0000-0000-0000-000000000000};;;;POINT (4937168,156234628 2207359,675582282)
1467762;"1542661";"083";"11326";706,00000000;"154690100000000610001000000000";Privado;NPH;Recreacional;;;;;{64F0951C-285A-4009-A1B1-E87F2AF6A835};{00000000-0000-0000-0000-000000000000};;;;POINT (4936362,673320914 2207087,231923893)
1436175;"1542672";"083";"13979";150,00000000;"154690100000000610013000000000";Privado;NPH;Habitacional;;;;;{6EFA79B3-65B2-48F4-9756-1BBE860FBD04};{00000000-0000-0000-0000-000000000000};;;;POINT (4936448,978540314 2206610,0186600233)
1337519;"1542686";"083";"17995";107,00000000;"154690100000000610028000000000";Privado;NPH;Habitacional;;;;;{3AC4C3A8-4EC6-4DD5-902F-7296934DD494};{00000000-0000-0000-0000-000000000000};;;;POINT (4936437,839627573 2206577,6594119947)
1369613;"1543276";"083";"5782";80,00000000;"154690100000000760005000000000";Privado;NPH;Habitacional;;;;;{68A5D7A1-383D-4BF5-BB78-2F06181A4499};{00000000-0000-0000-0000-000000000000};;;;POINT (4936608,462814808 2206590,6733375695)
1240567;"1543293";"083";"5799";111,00000000;"154690100000000760022000000000";Privado;NPH;Habitacional;;;;;{A6323C8C-5696-4DC2-B289-E05BC689F5EC};{00000000-0000-0000-0000-000000000000};;;;POINT (4936582,6902447995 2206579,3745807465)
1403924;"1543299";"083";"5805";60,00000000;"154690100000000780001000000000";Privado;NPH;Habitacional;;;;;{145D7764-F0B1-4446-8611-A9C5AD3044B3};{00000000-0000-0000-0000-000000000000};;;;POINT (4936580,782536201 2206565,7071698853)
1403926;"1543309";"083";"5815";60,00000000;"154690100000000780011000000000";Privado;NPH;Habitacional;;;;;{673070CC-6EEF-4417-BA71-7BD992AE2634};{00000000-0000-0000-0000-000000000000};;;;POINT (4936639,44653652 2206547,7463655844)
1305833;"1543924";"083";"18364";107,00000000;"154690100000001150003000000000";Privado;NPH;Habitacional;;;;;{69D2DF95-8732-4AE9-A2AB-035180F8E9F4};{00000000-0000-0000-0000-000000000000};;;;POINT (4936659,927879018 2207726,924864324)
1272336;"1543929";"083";"29380";64,00000000;"154690100000001150009000000000";Privado;NPH;Habitacional;;;;;{7ADA7233-A2B9-4E20-BF10-B3139B4EF993};{00000000-0000-0000-0000-000000000000};;;;POINT (4936684,495858213 2207701,4083276466)
1532638;"1543930";"083";"18351";117,00000000;"154690100000001150010000000000";Privado;NPH;Habitacional;;;;;{4B10A24B-B48F-42F5-86FE-20017DF325C4};{00000000-0000-0000-0000-000000000000};;;;POINT (4936672,650536189 2207698,2805013834)
1500578;"1544557";"083";"29715";105,00000000;"154690100000001650011000000000";Privado;NPH;Habitacional;;;;;{C25C0C8F-6602-4E57-97E7-8F020857112F};{00000000-0000-0000-0000-000000000000};;;;POINT (4937693,924354486 2207650,8590237717)
1421667;"1538946";"083";"11575";729,00000000;"154690000000000280226000000000";Privado;NPH;Agropecuario;;;;;{DD1B6F05-F2A0-43AF-995D-29C583F7F094};{00000000-0000-0000-0000-000000000000};;;;POINT (4937667,031480371 2205965,801961831)
1052379;"1540820";"083";"10163";105,00000000;"154690100000000050001000000000";Privado;NPH;Habitacional;;;;;{8120E15A-2BBD-46D0-B983-715589F7C48B};{00000000-0000-0000-0000-000000000000};;;;POINT (4936744,762763063 2207690,892325614)
1500370;"1540826";"083";"2868";106,00000000;"154690100000000050007000000000";Privado;NPH;Habitacional;;;;;{7992C5D6-05D0-4D4E-AC64-7526C9C09F74};{00000000-0000-0000-0000-000000000000};;;;POINT (4936765,325728139 2207680,8608047757)
1208193;"1541453";"083";"41380";186,00000000;"154690100000000230009000000000";Privado;NPH;Habitacional;;;;;{7EFDD0A2-536C-4792-9BC2-E259BD0641C1};{00000000-0000-0000-0000-000000000000};;;;POINT (4936680,683942838 2207304,9907195037)
1052425;"1542077";"083";"15683";202,00000000;"154690100000000400029000000000";Privado;NPH;Habitacional;;;;;{AEB443A6-878B-49EF-A836-091322E554D0};{00000000-0000-0000-0000-000000000000};;;;POINT (4937277,298690388 2207371,841632888)
1337521;"1542714";;"";189,00000000;"154690100000000610058000000000";Privado;NPH;Habitacional;;;;;{AEA2ADF2-68FC-455E-843A-9C5F6A95CB16};{00000000-0000-0000-0000-000000000000};;;;POINT (4936356,123478958 2207111,408718608)
1082683;"1543341";"083";"5822";60,00000000;"154690100000000800005000000000";Privado;NPH;Habitacional;;;;;{E9375FD4-310B-457B-A94B-8EB85DE1E39D};{00000000-0000-0000-0000-000000000000};;;;POINT (4936690,89825009 2206566,788559407)
1403969;"1543945";"083";"18367";98,00000000;"154690100000001160003000000000";Privado;NPH;Lote_Urbanizable_No_Construido;;;;;{7D7AB83B-F4E4-4CB6-9AAB-F8F82A179E4D};{00000000-0000-0000-0000-000000000000};;;;POINT (4936610,855769061 2207724,438418815)
1403970;"1543953";"083";"18375";98,00000000;"154690100000001160011000000000";Privado;NPH;Habitacional;;;;;{E73393B1-8D01-473B-B6FE-21BF9E393021};{00000000-0000-0000-0000-000000000000};;;;POINT (4936649,924866963 2207758,6444378085)
