"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente";"field15"
1642134;L5_614;614;614;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639535";Privado_Privado;NPH;"637.82000000000005";;;
1642135;L5_613;613;613;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639536";Privado_Privado;NPH;"700.47";;;
1642136;L5_612;612;612;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639578";Privado_Privado;NPH;"630";;;
1642137;L5_611;611;611;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639537";Privado_Privado;NPH;"775.57";;;
1642138;L5_610;610;610;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639538";Privado_Privado;NPH;"630";;;
1642139;L5_609;609;609;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639528";Privado_Privado;NPH;"795.44";;;
1642140;L5_608;608;608;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639534";Privado_Privado;NPH;"911.92";;;
1642141;L5_607;607;607;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639579";Privado_Privado;NPH;"630";;;
1642142;L5_606;606;606;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639532";Privado_Privado;NPH;"630";;;
1642143;L5_605;605;605;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639530";Privado_Privado;NPH;"630";;;
1642144;L5_604;604;604;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639531";Privado_Privado;NPH;"630";;;
1642145;L5_603;603;603;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639533";Privado_Privado;NPH;"630";;;
1642146;L5_602;602;602;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639497";Privado_Privado;NPH;"630";;;
1642147;L5_601;601;601;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639580";Privado_Privado;NPH;"25142.46";;;
1642148;L5_633;633;633;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639539";Privado_Privado;NPH;"640.71";;;
1642149;L5_699;699;699;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639488";Privado_Privado;NPH;"675.91";;;
1642150;L5_698;698;698;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639495";Privado_Privado;NPH;"675.91";;;
1642151;L5_697;697;697;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639505";Privado_Privado;NPH;"1066.3900000000001";;;
1642152;L5_696;696;696;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639483";Privado_Privado;NPH;"811.47";;;
1642153;L5_695;695;695;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639482";Privado_Privado;NPH;"646.09";;;
1642154;L5_694;694;694;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639564";Privado_Privado;NPH;"666.09";;;
1642155;L5_693;693;693;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639484";Privado_Privado;NPH;"756.45";;;
1642156;L5_692;692;692;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639481";Privado_Privado;NPH;"628.27";;;
1642157;L5_691;691;691;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639493";Privado_Privado;NPH;"976.82";;;
1642158;L5_690;690;690;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639485";Privado_Privado;NPH;"708.4";;;
1642159;L5_689;689;689;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639509";Privado_Privado;NPH;"750.36";;;
1642160;L5_688;688;688;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639487";Privado_Privado;NPH;"870.07";;;
1642161;L5_687;687;687;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639507";Privado_Privado;NPH;"676.29";;;
1642162;L5_686;686;686;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639504";Privado_Privado;NPH;"843.57";;;
1642163;L5_685;685;685;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639503";Privado_Privado;NPH;"791.15";;;
