"left";"tipo_tipologia";"count"
"50313";ED_Multifamiliar_VIS_Hasta_12_Pisos_9016194;48
"23079";Institucional_Salud_2_7021132;7
"66318";Institucional_Salud_1_7011121;1
"68573";Residencial_Tipo_5_menos_1011115;1
"15299";Residencial_Tipo_2_1004122;1075
"25772";ED_Servicios_Tipo_1_9026547;10
"68861";Comercial_Intermedio_3_2026532;15
"68573";Industrial_Liviana_2_3001121;8
"25001";Comercial_Especializado_2_2036543;2
"66383";Residencial_Tipo_5_mas_1031135;82
"68101";Institucional_Tipo_2_5011122;42
"13836";Residencial_Tipo_4_menos_1024114;913
"15299";Comercial_Intermedio_2_2021532;186
"15293";Residencial_Tipo_3_menos_1004113;67
"15861";Residencial_Tipo_0_1002311;1
"15861";Institucional_Tipo_1_5014111;5
"25772";Institucional_Tipo_3_5021143;15
"15804";Residencial_Tipo_0_1002311;5
"23350";Comercial_Intermedio_2_2021532;139
"68861";Institucional_Tipo_7_5021132;7
"68745";Comercial_Especializado_1_2023123;6
"23570";Residencial_Tipo_1_1014011;2708
"23555";Residencial_Tipo_4_1021134;707
"15599";Comercial_Especializado_2_2036543;6
"66318";Institucional_Religioso_Tipo_1_6021131;5
"23555";Comercial_Intermedio_2_2021532;496
"15325";Comercial_Intermedio_1_2021132;13
"25295";Institucional_Tipo_6_5011111;20
"68861";Residencial_Tipo_1_1014011;1293
"63401";ED_Multifamiliar_VIS_Hasta_12_Pisos_9016194;351
"23079";Residencial_Tipo_5_1021125;3
"15469";Comercial_Intermedio_3_2026532;86
"25772";Residencial_Tipo_3_menos_1004113;1520
"25183";Comercial_Especializado_1_2023123;74
"25772";Residencial_Tipo_2_1004122;1179
"63401";ED_Multifamiliar_Vivienda_VIS_Serie_2_Pisos_9011122;3
"15325";Residencial_Tipo_3_menos_1004113;437
"15764";Industrial_Liviana_1_3002311;1
"25001";Institucional_Religioso_Tipo_1_6021131;9
"15759";Industrial_Mediana_1_3011132;954
"15798";Residencial_Tipo_2_1004122;735
"68101";Industrial_Liviana_1_3002311;1
"15293";Institucional_Tipo_6_5011111;1
"15816";Residencial_Tipo_2_1004122;573
"66318";Comercial_Especializado_2_2036543;2
"15798";Residencial_Tipo_0_1002311;1
"15686";Comercial_Especializado_2_2036543;1
"25295";Residencial_Tipo_4_1021134;696
"15189";Residencial_Tipo_3_menos_1004113;254
"23555";Institucional_Tipo_1_5014111;54
"68179";Residencial_Tipo_5_menos_1011115;1
"15599";Comercial_Intermedio_2_2021532;109
"15380";Institucional_Religioso_Tipo_1_6021131;2
"15599";Comercial_Especializado_1_2023123;49
"68179";Institucional_Tipo_2_5011122;10
"15816";Institucional_Tipo_2_5011122;11
"68745";Institucional_Tipo_6_5011111;9
"23675";Institucional_Tipo_6_5011111;7
"70124";Comercial_Especializado_1_2023123;2
"15664";Institucional_Salud_2_7021132;3
"15189";ED_Servicios_Tipo_1_9026547;1
"66318";Industrial_Liviana_2_3001121;40
"15759";Institucional_Tipo_2_5011122;74
"15469";ED_Multifamiliar_Vivienda_VIS_Serie_2_Pisos_9011122;179
"13430";Residencial_Tipo_5_menos_1011115;336
"15299";Comercial_Intermedio_1_2021132;30
"15469";Comercial_Intermedio_2_2021532;369
"15599";Residencial_Tipo_5_menos_1011115;18
"15293";Institucional_Tipo_1_5014111;8
"15599";Residencial_Tipo_4_menos_1024114;20
"15761";Institucional_Tipo_3_5021143;1
"15686";Institucional_Salud_2_7021132;1
"15764";Institucional_Salud_2_7021132;1
