id;no, fmi;dirección territorial;municipio;fecha_envio_juridico;folio_matriz;novedadfmi_tipo;npnmatriz;novedad_numero_predial;folio_derivados;predio tipo;condicion prop derivado;árearegistralm2;coeficiente;área coefieciente;id_operacion_db
7788;7788;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-79058;Privado_Privado;NPH;;;;13401270-12096
12388;12388;BOYACÁ;RAMIRIQUÍ;30/05/2025;090-58050;;1,5599E+29;Desenglobe_Venta_Parcial;090-62381;Privado_Privado;NPH;;;;L2-569
2466;2466;BOLÍVAR;TURBACO;23/05/2025;060-346092;;SIN NPN;Desenglobe_Division_Material;060-346778;Privado_Privado;NPH;;;;L2-3002
12162;12162;BOYACÁ;MONIQUIRÁ;30/05/2025;083-24095;;1,5469E+29;Desenglobe_Division_Material;083-45704;Privado_Privado;PH_Unidad_Predial;79.650.000.000.000.000;18;79.650.000.000.000.000;1544305-4469
4165;4165;BOLÍVAR;TURBACO;20/06/2025;060-365742;;SIN NPN;Desenglobe_Division_Material;060-365769;Privado_Privado;PH_Unidad_Predial;;;;L2-3452
4143;4143;BOLÍVAR;TURBACO;20/06/2025;060-365742;;SIN NPN;Desenglobe_Division_Material;060-365746;Privado_Privado;PH_Unidad_Predial;;;;L2-3378
10987;10987;RISARALDA;LA CELIA;30/05/2025;297-9425;;SIN NPN;Desenglobe_Division_Material;297-9435;Privado_Privado;NPH;;;;L2-13344
8623;8623;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-79886;Privado_Privado;NPH;;;;13401270-7628
5432;5432;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-76711;Privado_Privado;NPH;;;;13401270-11324
1424;1424;BOLÍVAR;TURBACO;25/07/2025;060-13937;;1,3836E+29;Desenglobe_Division_Material;060-402705;Privado_Privado;NPH;112;;;13282259-601
7581;7581;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-78852;Privado_Privado;NPH;;;;13401270-7949
13754;13754;BOYACÁ;SOGAMOSO;22/08/2025;095-158224;;1,5759E+29;Desenglobe_Division_Material;095-166164;Privado_Privado;PH_Unidad_Predial;54.96;0.20830000000000001;54.96;14142767-5639
1659;1659;BOLÍVAR;TURBACO;23/05/2025;060-19504;;1,3836E+29;Desenglobe_Division_Material;060-325037;Privado_Privado;PH_Unidad_Predial;;;;1097579-1002
3319;3319;BOLÍVAR;TURBACO;25/07/2025;060-316930;;1,3836E+29;Desenglobe_Division_Material;060-338027;Privado_Privado;PH_Unidad_Predial;15.186.000.000.000.000;0.43240000000000001;;13282454-2138
14382;14382;BOYACÁ;SOGAMOSO;22/08/2025;095-162359;;SIN NPN;Desenglobe_Division_Material;095-162764;Privado_Privado;PH_Unidad_Predial;58.05;0.46300000000000002;58.05;L2-5961
7705;7705;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-78975;Privado_Privado;NPH;;;;13401270-8881
4088;4088;BOLÍVAR;TURBACO;20/06/2025;060-365742;;SIN NPN;Desenglobe_Division_Material;060-365803;Privado_Privado;PH_Unidad_Predial;;;;L2-3454
6476;6476;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-77746;Privado_Privado;NPH;;;;13401270-8583
5564;5564;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-76842;Privado_Privado;NPH;;;;13401270-10262
116;116;ATLÁNTICO;TUBARÁ;11/07/2025;040-605697;;8,832E+28;Desenglobe_Division_Material;040-658054;Privado_Privado;Condominio_Unidad_Predial;;;;13973179-341
3446;3446;BOLÍVAR;TURBACO;25/07/2025;060-316930;;1,3836E+29;Desenglobe_Division_Material;060-338020;Privado_Privado;PH_Unidad_Predial;91.9;0.2616;;13282454-2047
12965;12965;BOYACÁ;SOGAMOSO;30/05/2025;095-164663;;SIN NPN;Desenglobe_Division_Material;095-167539;Privado_Privado;PH_Unidad_Predial;;;;L2-6170
8557;8557;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-79821;Privado_Privado;NPH;;;;13401270-10856
14508;14508;BOYACÁ;SOGAMOSO;22/08/2025;095-12464;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-12464;Privado_Privado;PH_Matriz;735;;;1799244
4264;4264;META;GRANADA;4/07/2025;236-1428;;5,0313E+29;Desenglobe_Division_Material;236-100540;Privado_Privado;Via;49;;;4752593-6822
7537;7537;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-78808;Privado_Privado;NPH;;;;13401270-11885
6349;6349;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-77620;Privado_Privado;NPH;;;;13401270-12385
2877;2877;BOLÍVAR;TURBACO;4/07/2025;060-26770;;1,3836E+29;Desenglobe_Division_Material;060-349606;Privado_Privado;NPH;362.73;;;1097944-1341
9665;9665;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-80923;Privado_Privado;NPH;;;;13401270-10114
10386;10386;META;GRANADA;18/07/2025;236-87598;;SIN NPN;Desenglobe_Division_Material;236-101771;Privado_Privado;NPH;;;;L2-12871
10690;10690;QUINDIO;LA TEBAIDA;28/05/2025;280-246964;;SIN NPN;Desenglobe_Division_Material;280-246976;Privado_Privado;NPH;10007;;;L2-13048
1000;1000;BOLÍVAR;TURBACO;23/05/2025;060-374508;;SIN NPN;Desenglobe_Division_Material;060-374832;Privado_Privado;PH_Unidad_Predial;;;;L2-3659
13159;13159;BOYACÁ;SOGAMOSO;28/07/2025;095-126251;;1,5759E+29;Cancelacion_por_Englobe;;;;;;;1815602
7757;7757;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-79027;Privado_Privado;NPH;;;;13401270-11194
10170;10170;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-83004;Privado_Privado;NPH;;;;13401270-11017
69;69;ATLÁNTICO;TUBARÁ;11/07/2025;040-605697;;8,832E+28;Desenglobe_Division_Material;040-658129;Privado_Privado;Condominio_Unidad_Predial;;;;13973179-227
14007;14007;BOYACÁ;SOGAMOSO;22/08/2025;095-158224;;1,5759E+29;Desenglobe_Division_Material;095-166042;Privado_Privado;PH_Unidad_Predial;54.96;0.20830000000000001;54.96;14142767-5568
6689;6689;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-77964;Privado_Privado;NPH;;;;13401270-8577
7563;7563;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-78834;Privado_Privado;NPH;;;;13401270-12220
6270;6270;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-77542;Privado_Privado;NPH;;;;13401270-9916
3780;3780;BOLÍVAR;TURBACO;26/05/2025;060-340194;;SIN NPN;Desenglobe_Division_Material;060-370332;Privado_Privado;NPH;;;;L2-2736
9944;9944;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-81199;Privado_Privado;NPH;;;;13401270-9044
2089;2089;BOLÍVAR;TURBACO;23/05/2025;060-346092;;SIN NPN;Desenglobe_Division_Material;060-346990;Privado_Privado;NPH;;;;L2-3108
1290;1290;BOLÍVAR;TURBACO;25/07/2025;060-13937;;1,3836E+29;Desenglobe_Division_Material;060-402818;Privado_Privado;NPH;84;;;13282259-705
2970;2970;BOLÍVAR;TURBACO;4/07/2025;060-26770;;1,3836E+29;Desenglobe_Division_Material;060-349699;Privado_Privado;NPH;383.37;;;1097944-1414
6357;6357;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-77628;Privado_Privado;NPH;;;;13401270-11983
