"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente"
1641166;L4_357;357;357;BOYACÁ;SOGAMOSO;2025-09-29;"095-110674";;"157590101000004700011000000000";Desenglobe_Division_Material;"095-154036";Privado_Privado;PH_Unidad_Predial;"49.1";0.1205;"49.1"
1641170;L4_359;359;359;BOYACÁ;SOGAMOSO;2025-09-29;"095-110783";;"157590102000002440042000000000";Desenglobe_Division_Material;"095-158930";Privado_Privado;PH_Unidad_Predial;"82.39";0.3282;"82.39"
1641090;L4_36;36;36;BOYACÁ;RAMIRIQUÍ;2025-09-29;"090-21507";;"155990000000000200450000000000";Desenglobe_Venta_Parcial;"090-61428";Privado_Privado;NPH;"1870.88";;
1641171;L4_360;360;360;BOYACÁ;SOGAMOSO;2025-09-29;"095-110783";;"157590102000002440042000000000";Desenglobe_Division_Material;"095-158931";Privado_Privado;PH_Unidad_Predial;"80.099999999999994";0.319;"80.099999999999994"
1641172;L4_361;361;361;BOYACÁ;SOGAMOSO;2025-09-29;"095-110783";;"157590102000002440042000000000";Desenglobe_Division_Material;"095-158932";Privado_Privado;PH_Unidad_Predial;"79.209999999999994";0.3155;"79.209999999999994"
1641173;L4_362;362;362;BOYACÁ;SOGAMOSO;2025-09-29;"095-110783";;"157590102000002440042000000000";Desenglobe_Division_Material;"095-158929";Privado_Privado;PH_Unidad_Predial;"9.3699999999999992";0.0373;"9.3699999999999992"
1641182;L4_363;363;363;BOYACÁ;SOGAMOSO;2025-09-29;"095-123436";;"157590102000004880008000000000";Desenglobe_Division_Material;"095-161707";Privado_Privado;NPH;"117.97";;
1641181;L4_364;364;364;BOYACÁ;SOGAMOSO;2025-09-29;"095-123436";;"157590102000004880008000000000";Desenglobe_Division_Material;"095-161708";Privado_Privado;NPH;"123.24";;
1641180;L4_365;365;365;BOYACÁ;SOGAMOSO;2025-09-29;"095-123436";;"157590102000004880008000000000";Desenglobe_Division_Material;"095-161710";Privado_Privado;NPH;"141.96";;
1641179;L4_366;366;366;BOYACÁ;SOGAMOSO;2025-09-29;"095-123436";;"157590102000004880008000000000";Desenglobe_Division_Material;"095-161709";Privado_Privado;NPH;"132.63999999999999";;
1641187;L4_368;368;368;BOYACÁ;SOGAMOSO;2025-09-29;"095-124309";;"157590102000005600016000000000";Desenglobe_Division_Material;"095-148630";Privado_Privado;NPH;"357.63";;
1641190;L4_369;369;369;BOYACÁ;SOGAMOSO;2025-09-29;"095-124309";;"157590102000005600016000000000";Desenglobe_Division_Material;"095-148632";Privado_Privado;NPH;"357.54";;
1641109;L4_37;37;37;BOYACÁ;RAMIRIQUÍ;2025-09-29;"090-3512";;"155990000000000200460000000000";Desenglobe_Venta_Parcial;"090-62320";Privado_Privado;NPH;"1819";;
1641189;L4_370;370;370;BOYACÁ;SOGAMOSO;2025-09-29;"095-124309";;"157590102000005600016000000000";Desenglobe_Division_Material;"095-148633";Privado_Privado;NPH;"357.52";;
1641188;L4_371;371;371;BOYACÁ;SOGAMOSO;2025-09-29;"095-124309";;"157590102000005600016000000000";Desenglobe_Division_Material;"095-148631";Privado_Privado;NPH;"357.59";;
1641191;L4_374;374;374;BOYACÁ;SOGAMOSO;2025-09-29;"095-124961";;"157590101000000020036000000000";Desenglobe_Division_Material;"095-150313";Privado_Privado;PH_Unidad_Predial;"37.6";0.2705;"37.6"
1641194;L4_375;375;375;BOYACÁ;SOGAMOSO;2025-09-29;"095-124961";;"157590101000000020036000000000";Desenglobe_Division_Material;"095-150314";Privado_Privado;PH_Unidad_Predial;"33.67";0.2423;"33.67"
1641193;L4_376;376;376;BOYACÁ;SOGAMOSO;2025-09-29;"095-124961";;"157590101000000020036000000000";Desenglobe_Division_Material;"095-150315";Privado_Privado;PH_Unidad_Predial;"30.74";0.2212;"30.74"
1641192;L4_377;377;377;BOYACÁ;SOGAMOSO;2025-09-29;"095-124961";;"157590101000000020036000000000";Desenglobe_Division_Material;"095-150316";Privado_Privado;PH_Unidad_Predial;"36.979999999999997";0.266;"36.979999999999997"
1641200;L4_379;379;379;BOYACÁ;SOGAMOSO;2025-09-29;"095-130723";;"157590101000000800019000000000";Desenglobe_Division_Material;"095-164895";Privado_Privado;PH_Unidad_Predial;"44.5";0.166;"44.5"
1641110;L4_38;38;38;BOYACÁ;RAMIRIQUÍ;2025-09-29;"090-3512";;"155990000000000200460000000000";Desenglobe_Venta_Parcial;"090-61851";Privado_Privado;NPH;"5588";;
1641203;L4_380;380;380;BOYACÁ;SOGAMOSO;2025-09-29;"095-130723";;"157590101000000800019000000000";Desenglobe_Division_Material;"095-164896";Privado_Privado;PH_Unidad_Predial;"12.8";0.0398;"12.8"
1641202;L4_381;381;381;BOYACÁ;SOGAMOSO;2025-09-29;"095-130723";;"157590101000000800019000000000";Desenglobe_Division_Material;"095-164897";Privado_Privado;PH_Unidad_Predial;"89.8";0.2794;"89.8"
1641201;L4_382;382;382;BOYACÁ;SOGAMOSO;2025-09-29;"095-130723";;"157590101000000800019000000000";Desenglobe_Division_Material;"095-164898";Privado_Privado;PH_Unidad_Predial;"165.57";0.5148;"165.57"
1641183;L4_383;383;383;BOYACÁ;SOGAMOSO;2025-09-29;"095-123450";;"157590101000006240214000000000";Desenglobe_Division_Material;"095-154614";Privado_Privado;NPH;"104.61";;
1641186;L4_384;384;384;BOYACÁ;SOGAMOSO;2025-09-29;"095-123450";;"157590101000006240214000000000";Desenglobe_Division_Material;"095-154615";Privado_Privado;NPH;"107.46";;
1641185;L4_385;385;385;BOYACÁ;SOGAMOSO;2025-09-29;"095-123450";;"157590101000006240214000000000";Desenglobe_Division_Material;"095-154616";Privado_Privado;NPH;"120.01";;
1641184;L4_386;386;386;BOYACÁ;SOGAMOSO;2025-09-29;"095-123450";;"157590101000006240214000000000";Desenglobe_Division_Material;"095-154613";Privado_Privado;NPH;"103.45";;
1641256;L4_388;388;388;BOYACÁ;SOGAMOSO;2025-09-29;"095-149013";;"157590102000005270006000000000";Desenglobe_Division_Material;"095-164773";Privado_Privado;NPH;"3645, 59";;
1641257;L4_388;388;388;BOYACÁ;SOGAMOSO;2025-09-29;"095-149013";;"157590102000005270006000000000";Desenglobe_Division_Material;"095-164773";Privado_Privado;NPH;"3645, 59";;
1641262;L4_389;389;389;BOYACÁ;SOGAMOSO;2025-09-29;"095-149013";;"157590102000005270006000000000";Desenglobe_Division_Material;"095-164776";Privado_Privado;NPH;"156.76";;
1641263;L4_389;389;389;BOYACÁ;SOGAMOSO;2025-09-29;"095-149013";;"157590102000005270006000000000";Desenglobe_Division_Material;"095-164776";Privado_Privado;NPH;"156.76";;
1641127;L4_39;39;39;BOYACÁ;RAMIRIQUÍ;2025-09-29;"090-50039";;"155990000000000200470000000000";Desenglobe_Venta_Parcial;"090-61961";Privado_Privado;NPH;"5693";;
1638524;L4_390;393;393;BOYACÁ;SOGAMOSO;2025-09-29;"095-149013";;"157590102000001200005000000000";Cancelacion_por_Desenglobe;;;;;;
1638524;L4_390;390;390;BOYACÁ;SOGAMOSO;2025-09-29;"095-149013";;"157590102000005270006000000000";Cancelacion_por_Desenglobe;;;;;;
1641258;L4_391;391;391;BOYACÁ;SOGAMOSO;2025-09-29;"095-149013";;"157590102000001200005000000000";Desenglobe_Division_Material;"095-164774";Privado_Privado;NPH;"878.2";;
1641259;L4_391;391;391;BOYACÁ;SOGAMOSO;2025-09-29;"095-149013";;"157590102000001200005000000000";Desenglobe_Division_Material;"095-164774";Privado_Privado;NPH;"878.2";;
1641260;L4_392;392;392;BOYACÁ;SOGAMOSO;2025-09-29;"095-149013";;"157590102000001200005000000000";Desenglobe_Division_Material;"095-164775";Privado_Privado;NPH;"361.4";;
1641261;L4_392;392;392;BOYACÁ;SOGAMOSO;2025-09-29;"095-149013";;"157590102000001200005000000000";Desenglobe_Division_Material;"095-164775";Privado_Privado;NPH;"361.4";;
1638523;L4_393;390;390;BOYACÁ;SOGAMOSO;2025-09-29;"095-149013";;"157590102000005270006000000000";Cancelacion_por_Desenglobe;;;;;;
1638523;L4_393;393;393;BOYACÁ;SOGAMOSO;2025-09-29;"095-149013";;"157590102000001200005000000000";Cancelacion_por_Desenglobe;;;;;;
1641367;L4_395;395;395;BOYACÁ;SOGAMOSO;2025-09-29;"095-2321";;"157590101000000130008000000000";Desenglobe_Division_Material;"095-167374";Privado_Privado;PH_Unidad_Predial;"61.45";0.0918;"61.45"
1641368;L4_396;396;396;BOYACÁ;SOGAMOSO;2025-09-29;"095-2321";;"157590101000000130008000000000";Desenglobe_Division_Material;"095-167372";Privado_Privado;PH_Unidad_Predial;"277.35000000000002";0.5952;"277.35000000000002"
1641369;L4_397;397;397;BOYACÁ;SOGAMOSO;2025-09-29;"095-2321";;"157590101000000130008000000000";Desenglobe_Division_Material;"095-167375";Privado_Privado;PH_Unidad_Predial;"70.349999999999994";0.1051;"70.349999999999994"
1641366;L4_398;398;398;BOYACÁ;SOGAMOSO;2025-09-29;"095-2321";;"157590101000000130008000000000";Desenglobe_Division_Material;"095-167373";Privado_Privado;PH_Unidad_Predial;"139.25";0.2079;"139.25"
1640916;L4_399;399;399;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45615";Privado_Privado;NPH;"72.3";;
1641095;L4_40;40;40;BOYACÁ;RAMIRIQUÍ;2025-09-29;"090-23650";;"155990000000000200472000000000";Desenglobe_Venta_Parcial;"090-62333";Privado_Privado;NPH;"5106";;
1640917;L4_400;400;400;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45616";Privado_Privado;NPH;"72.260000000000005";;
1640918;L4_401;401;401;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45617";Privado_Privado;NPH;"74.83";;
1640919;L4_402;402;402;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45618";Privado_Privado;NPH;"73.37";;
1640920;L4_403;403;403;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45619";Privado_Privado;NPH;"74.97";;
1640921;L4_404;404;404;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45620";Privado_Privado;NPH;"75.010000000000005";;
1640922;L4_405;405;405;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45621";Privado_Privado;NPH;"72";;
1640923;L4_406;406;406;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45622";Privado_Privado;NPH;"72";;
1640924;L4_407;407;407;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45623";Privado_Privado;NPH;"73.150000000000006";;
1640925;L4_408;408;408;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45624";Privado_Privado;NPH;"74.09";;
1640926;L4_409;409;409;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45625";Privado_Privado;NPH;"74.64";;
1641079;L4_41;41;41;BOYACÁ;RAMIRIQUÍ;2025-09-29;"090-11598";;"155990000000000200486000000000";Desenglobe_Venta_Parcial;"090-63185";Privado_Privado;NPH;"329";;
1641080;L4_41;41;41;BOYACÁ;RAMIRIQUÍ;2025-09-29;"090-11598";;"155990000000000200486000000000";Desenglobe_Venta_Parcial;"090-63185";Privado_Privado;NPH;"329";;
1640927;L4_410;410;410;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45626";Privado_Privado;NPH;"72.17";;
1640928;L4_411;411;411;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45627";Privado_Privado;NPH;"85.53";;
1640915;L4_412;412;412;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45628";Privado_Privado;NPH;"73.63";;
1640929;L4_413;413;413;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45629";Privado_Privado;NPH;"76.16";;
1640930;L4_414;414;414;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45630";Privado_Privado;NPH;"79.430000000000007";;
1640931;L4_415;415;415;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45631";Privado_Privado;NPH;"74.37";;
1640932;L4_416;416;416;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45632";Privado_Privado;NPH;"72.81";;
