"objectid";"id_operacion";"id";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"árearegistralm2";"coeficiente";"área coefieciente";"count"
1634925;"1774947-1085";1089;"095-106522";FMI_Debe_Estar_Cerrado;"157590002000000052166000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1079;"095-106512";FMI_Debe_Estar_Cerrado;"157590002000000052156000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1078;"095-106511";FMI_Debe_Estar_Cerrado;"157590002000000052155000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1638171;"1774947-1085R1117";1117;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158804";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638167;"1774947-1085R1113";1113;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158805";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638168;"1774947-1085R1114";1114;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158806";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638169;"1774947-1085R1115";1115;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158807";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638174;"1774947-1085R1120";1120;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158808";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638173;"1774947-1085R1119";1119;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158809";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638175;"1774947-1085R1121";1121;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158810";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638158;"1774947-1085R1131";1131;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158811";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638160;"1774947-1085R1133";1133;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158812";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
