id_operacion;no, fmi;dirección territorial;municipio;fecha_envio_juridico;folio_matriz;novedadfmi_tipo;npnmatriz;novedad_numero_predial;folio_derivados;predio tipo;condicion prop derivado;área registral m2;coeficiente;área coefieciente;field15
L5_607;607;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639579;Privado_Privado;NPH;630;;;
L5_606;606;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639532;Privado_Privado;NPH;630;;;
L5_605;605;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639530;Privado_Privado;NPH;630;;;
L5_604;604;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639531;Privado_Privado;NPH;630;;;
L5_603;603;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639533;Privado_Privado;NPH;630;;;
L5_602;602;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639497;Privado_Privado;NPH;630;;;
L5_601;601;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639580;Privado_Privado;NPH;25142.46;;;
L5_633;633;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639539;Privado_Privado;NPH;640.71;;;
L5_699;699;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639488;Privado_Privado;NPH;675.91;;;
L5_698;698;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639495;Privado_Privado;NPH;675.91;;;
L5_697;697;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639505;Privado_Privado;NPH;10.663.900.000.000.000;;;
L5_696;696;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639483;Privado_Privado;NPH;811.47;;;
L5_695;695;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639482;Privado_Privado;NPH;646.09;;;
